run_timestamp,date,escalation_index,c_osint,c_sentiment,c_market,c_rf,escalation_score,p_escalation,p_stabilization,p_deescalation,p_short_war_2_4w,p_extended_1_3m,p_long_proxy_6m,portfolio_regime,model_confidence,hormuz_closure_prob,bam_closure_prob,expansion_index_val,market_roc_auc,data_completeness,icei_ci_lo,icei_ci_hi
2026-03-29 19:47 UTC,2026-03-29,56.3,50.0,53.9,63.3,,0.132,0.1081,0.8904,0.0014,0.1329,0.4391,0.4281,Stabilization,1.0,40.9,46.9,0.0,0.9458641863825176,,,
2026-03-29 21:56 UTC,2026-03-29,55.8,50.0,52.9,63.1,,0.1359,0.1129,0.8857,0.0013,0.1564,0.4423,0.4013,Stabilization,1.0,40.9,46.9,0.0,0.9458641863825176,,,
2026-03-30 00:38 UTC,2026-03-30,53.9,50.0,46.3,65.4,,0.1338,0.1621,0.8366,0.0013,0.2844,0.3885,0.3271,Elevated Risk,,54.5,50.9,0.0,0.945661976911977,1.0,,
2026-03-30 02:17 UTC,2026-03-30,54.4,50.0,47.4,65.6,,0.1323,0.1585,0.8402,0.0014,0.2682,0.3952,0.3366,Elevated Risk,,60.9,51.0,0.0,0.9458190355788332,1.0,48.5,58.4
2026-03-30 12:51 UTC,2026-03-30,56.3,50.0,53.4,63.8,,0.1495,0.2043,0.7948,0.0009,0.1536,0.4319,0.4145,Elevated Risk,,64.5,50.9,0.0,0.9456619769119768,1.0,48.7,58.7
2026-03-30 15:04 UTC,2026-03-30,57.7,50.0,59.2,61.0,,0.1475,0.1985,0.8005,0.001,0.1346,0.4406,0.4248,Elevated Risk,,67.1,51.9,0.0,0.9457070707070708,1.0,48.6,58.0
2026-03-30 19:57 UTC,2026-03-30,62.3,50.0,69.8,61.7,,0.1374,0.171,0.8278,0.0012,0.101,0.4118,0.4872,Elevated Risk,,66.3,51.5,0.0,0.9457972582972584,1.0,48.5,58.0
2026-03-30 22:08 UTC,2026-03-30,60.1,50.0,65.0,61.2,,0.1341,0.1628,0.8358,0.0013,0.1052,0.4554,0.4394,Elevated Risk,,66.7,51.6,0.0,0.9457070707070708,1.0,48.3,58.3
2026-03-31 13:20 UTC,2026-03-31,55.8,50.0,63.0,51.2,,0.1579,0.2299,0.7693,0.0008,0.1817,0.451,0.3672,Elevated Risk,,65.4,52.5,0.0,0.9457304990091876,1.0,48.5,57.8
2026-03-31 15:04 UTC,2026-03-31,59.0,50.0,70.8,51.1,,0.1742,0.2859,0.7135,0.0005,0.1165,0.4723,0.4112,Elevated Risk,,65.2,53.1,0.0,0.9456854620789048,1.0,48.5,57.6
2026-03-31 22:07 UTC,2026-03-31,56.0,50.0,70.7,42.9,,0.133,0.16,0.8387,0.0013,0.0962,0.438,0.4657,Elevated Risk,,63.0,54.3,0.0,0.9457304990091876,1.0,48.5,56.9
2026-04-01 15:07 UTC,2026-04-01,53.6,50.0,71.0,35.6,,0.1463,0.195,0.804,0.001,0.1012,0.4376,0.4612,Elevated Risk,,61.1,58.0,0.0,0.9456639078805325,1.0,48.6,57.5
2026-04-01 22:12 UTC,2026-04-01,52.2,50.0,67.1,36.4,,0.1568,0.2266,0.7726,0.0008,0.0992,0.4361,0.4647,Elevated Risk,,58.7,59.3,0.0,0.9457088880892408,1.0,49.0,57.5
2026-04-02 14:59 UTC,2026-04-02,52.4,50.0,66.3,37.7,,0.1303,0.1536,0.845,0.0014,0.1532,0.3923,0.4545,Elevated Risk,,63.7,57.8,0.0,0.945507637017071,1.0,48.5,57.8
